Row #,Species,Count,Location,S/P,Date,LocID,SubID,Coords
1,American Golden-Plover - Pluvialis dominica,1,Sandy Hook--North End,US-NJ,05 Jul 2021,L984762,S91323966,"40.4769212,-74.0107298"
2,White Ibis - Eudocimus albus,1,Sandy Hook--North End,US-NJ,05 Jul 2021,L984762,S91323966,"40.4769212,-74.0107298"
3,Cliff Swallow - Petrochelidon pyrrhonota,,Abbott Marshlands--John A. Roebling Park,US-NJ,27 Jun 2021,L2099614,S90899594,"40.1944134,-74.7327805"
4,Grasshopper Sparrow - Ammodramus savannarum,1,Pole Farm (Mercer County Park NW),US-NJ,27 Jun 2021,L251091,S90899426,"40.316411,-74.747477"
5,Eastern Meadowlark - Sturnella magna,1,Pole Farm (Mercer County Park NW),US-NJ,27 Jun 2021,L251091,S90899426,"40.316411,-74.747477"
6,Dickcissel - Spiza americana,1,Pole Farm (Mercer County Park NW),US-NJ,27 Jun 2021,L251091,S90899426,"40.316411,-74.747477"
7,Bank Swallow - Riparia riparia,5,Great Kills Park--Mudflats,US-NY,12 Jun 2021,L681809,S90088931,"40.5464104,-74.1182005"
8,Marsh Wren - Cistothorus palustris,2,Richard A. Rutkowski Park,US-NJ,10 Jun 2021,L716945,S89975647,"40.6877528,-74.1107252"
9,Orchard Oriole - Icterus spurius,1,Liberty SP,US-NJ,06 Jun 2021,L189035,S89750749,"40.7025698,-74.0493536"
10,Red-necked Phalarope - Phalaropus lobatus,3,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,23 May 2021,L92448,S88936614,"39.464298,-74.417612"
11,Gull-billed Tern - Gelochelidon nilotica,3,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,23 May 2021,L92448,S88936614,"39.464298,-74.417612"
12,Caspian Tern - Hydroprogne caspia,1,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,23 May 2021,L92448,S88936614,"39.464298,-74.417612"
13,Black Skimmer - Rynchops niger,35,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,23 May 2021,L92448,S88936614,"39.464298,-74.417612"
14,Red Knot - Calidris canutus,20,East Point Lighthouse,US-NJ,22 May 2021,L527266,S88934536,"39.1963928,-75.0278878"
15,Short-billed Dowitcher - Limnodromus griseus,,East Point Lighthouse,US-NJ,22 May 2021,L527266,S88934536,"39.1963928,-75.0278878"
16,Clapper Rail - Rallus crepitans,1,Stone Harbor Point,US-NJ,22 May 2021,L197073,S88933496,"39.0317999,-74.7723111"
17,Semipalmated Plover - Charadrius semipalmatus,,Stone Harbor Point,US-NJ,22 May 2021,L197073,S88933496,"39.0317999,-74.7723111"
18,Piping Plover - Charadrius melodus,1,Stone Harbor Point,US-NJ,22 May 2021,L197073,S88933496,"39.0317999,-74.7723111"
19,Little Blue Heron - Egretta caerulea,1,Cape Island--Cape May Point SP (CMPSP),US-NJ,22 May 2021,L109132,S88933084,"38.9338272,-74.9550854"
20,Willow Flycatcher - Empidonax traillii,1,Liberty SP,US-NJ,18 May 2021,L189035,S88494359,"40.7025698,-74.0493536"
21,Wilson's Phalarope - Phalaropus tricolor,1,Richard W. DeKorte Park,US-NJ,13 May 2021,L389007,S88034942,"40.7833,-74.1025167"
22,Lesser Yellowlegs - Tringa flavipes,,Richard W. DeKorte Park,US-NJ,13 May 2021,L389007,S88034942,"40.7833,-74.1025167"
23,Least Tern - Sternula antillarum,1,Richard W. DeKorte Park,US-NJ,13 May 2021,L389007,S88034942,"40.7833,-74.1025167"
24,Worm-eating Warbler - Helmitheros vermivorum,1,Liberty SP,US-NJ,13 May 2021,L189035,S88007050,"40.7025698,-74.0493536"
25,Chestnut-sided Warbler - Setophaga pensylvanica,1,Liberty SP,US-NJ,13 May 2021,L189035,S88007050,"40.7025698,-74.0493536"
26,Prairie Warbler - Setophaga discolor,1,Liberty SP,US-NJ,13 May 2021,L189035,S88007050,"40.7025698,-74.0493536"
27,Yellow-throated Vireo - Vireo flavifrons,1,Old Mine Road IBA (Warren County only),US-NJ,09 May 2021,L735899,S87652414,"40.9993797,-75.1110234"
28,Red-eyed Vireo - Vireo olivaceus,1,Old Mine Road IBA (Warren County only),US-NJ,09 May 2021,L735899,S87652414,"40.9993797,-75.1110234"
29,Northern Rough-winged Swallow - Stelgidopteryx serripennis,3,Old Mine Road IBA (Warren County only),US-NJ,09 May 2021,L735899,S87652414,"40.9993797,-75.1110234"
30,Hooded Warbler - Setophaga citrina,1,Old Mine Road IBA (Warren County only),US-NJ,09 May 2021,L735899,S87652414,"40.9993797,-75.1110234"
31,Louisiana Waterthrush - Parkesia motacilla,1,Garret Mountain Reservation (Park),US-NJ,08 May 2021,L209818,S87461203,"40.8995168,-74.1791808"
32,Rose-breasted Grosbeak - Pheucticus ludovicianus,1,Garret Mountain Reservation (Park),US-NJ,08 May 2021,L209818,S87461203,"40.8995168,-74.1791808"
33,Eastern Kingbird - Tyrannus tyrannus,1,Liberty SP,US-NJ,06 May 2021,L189035,S87281565,"40.7025698,-74.0493536"
34,Solitary Sandpiper - Tringa solitaria,1,Meadowlands IBA--Losen Slote Creek Park,US-NJ,04 May 2021,L459765,S87138433,"40.8389034,-74.038893"
35,Wood Thrush - Hylocichla mustelina,1,Meadowlands IBA--Losen Slote Creek Park,US-NJ,04 May 2021,L459765,S87138433,"40.8389034,-74.038893"
36,Spotted Sandpiper - Actitis macularius,1,Lincoln Park West,US-NJ,04 May 2021,L189040,S87114056,"40.72641,-74.090546"
37,Green Heron - Butorides virescens,1,Lincoln Park West,US-NJ,04 May 2021,L189040,S87114056,"40.72641,-74.090546"
38,Evening Grosbeak - Coccothraustes vespertinus,1,Lincoln Park West,US-NJ,04 May 2021,L189040,S87114056,"40.72641,-74.090546"
39,Blue-gray Gnatcatcher - Polioptila caerulea,1,The Celery Farm,US-NJ,02 May 2021,L229904,S86972587,"41.0364972,-74.1271909"
40,Veery - Catharus fuscescens,1,Borg's Woods,US-NJ,02 May 2021,L2124257,S86971700,"40.9057611,-74.0533555"
41,House Wren - Troglodytes aedon,1,Meadowlands IBA--Losen Slote Creek Park,US-NJ,02 May 2021,L459765,S86951293,"40.8389034,-74.038893"
42,Baltimore Oriole - Icterus galbula,2,Meadowlands IBA--Losen Slote Creek Park,US-NJ,02 May 2021,L459765,S86951293,"40.8389034,-74.038893"
43,Ovenbird - Seiurus aurocapilla,1,Schmidt's Woods,US-NJ,01 May 2021,L1793719,S86863368,"40.8002449,-74.0497181"
44,Yellow Warbler - Setophaga petechia,1,Meadowlands IBA--Mill Creek Marsh,US-NJ,01 May 2021,L389014,S86862396,"40.7959347,-74.0498471"
45,Purple Martin - Progne subis,6,Great Swamp NWR,US-NJ,21 Apr 2021,L302963,S86057350,"40.7138227,-74.463013"
46,Blue-headed Vireo - Vireo solitarius,1,Liberty SP,US-NJ,21 Apr 2021,L189035,S86057045,"40.7025698,-74.0493536"
47,Brown Thrasher - Toxostoma rufum,1,Liberty SP,US-NJ,21 Apr 2021,L189035,S86057045,"40.7025698,-74.0493536"
48,Black-bellied Plover - Pluvialis squatarola,4,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,18 Apr 2021,L92448,S85868728,"39.464298,-74.417612"
49,Dunlin - Calidris alpina,50,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,18 Apr 2021,L92448,S85868728,"39.464298,-74.417612"
50,Bonaparte's Gull - Chroicocephalus philadelphia,1,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,18 Apr 2021,L92448,S85868728,"39.464298,-74.417612"
51,Forster's Tern - Sterna forsteri,15,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),US-NJ,18 Apr 2021,L92448,S85868728,"39.464298,-74.417612"
52,Willet - Tringa semipalmata,3,"7079 U.S. 322, Pleasantville, New Jersey, US (39.382, -74.503)",US-NJ,18 Apr 2021,L14520215,S85868450,"39.382111, -74.502500"
53,Great Horned Owl - Bubo virginianus,4,Schmidt's Woods,US-NJ,10 Apr 2021,L1793719,S86762256,"40.8002449,-74.0497181"
54,Glossy Ibis - Plegadis falcinellus,2,Meadowlands IBA--Mill Creek Marsh,US-NJ,03 Apr 2021,L389014,S84715550,"40.7959347,-74.0498471"
55,Lesser Scaup - Aythya affinis,2,Duhernal Lake,US-NJ,21 Mar 2021,L4024523,S83833491,"40.4037689,-74.3714762"
56,Pied-billed Grebe - Podilymbus podiceps,1,Duhernal Lake,US-NJ,21 Mar 2021,L4024523,S83833491,"40.4037689,-74.3714762"
57,Wood Duck - Aix sponsa,2,Duke Island Park,US-NJ,21 Mar 2021,L1245095,S83832475,"40.5527165,-74.6641022"
58,Greater Scaup - Aythya marila,18,Liberty SP,US-NJ,20 Mar 2021,L189035,S83778519,"40.7025698,-74.0493536"
59,Wild Turkey - Meleagris gallopavo,11,The Celery Farm,US-NJ,14 Mar 2021,L229904,S83419398,"41.0364972,-74.1271909"
60,American Woodcock - Scolopax minor,2,Liberty SP,US-NJ,13 Mar 2021,L189035,S83359122,"40.7025698,-74.0493536"
